"","text"
"72"," safe lending laws  axed victims  domestic violence people  mental health problems  people  low financial literacy   risk   saddled  debt theyll struggle  repay  stop  debtdisaster visit   "
"73"," biden   "
"74"," love  watch  account grow elliott im natalia  yo cubarican bi  im  illustrator  dnd enthusiast im opening  sticker shop  february   working  art prints  crafts  make available  year  "
"75"," member   antiolympics group  tokyo tells    government  obsessed  hosting  olympics even though  many   infected   died  becoming clear   coronavirus    olympics would  sacrificing peoples lives  "
"76","  omg    happen   pray     also  anti christ"
"77"," whole nhl schedule thing    im sorry   "
"78"," one   top ten pics  preceded "
"79","         multiplicity  factors none    simply  isolated   bangkok one    dense cities   world   challenged  c   least  year still   ideas      zone  contagion hint thais  things  wouldnt"
"80","    fine    learnt   trump covid "
"81","another talesfromthesmp theory   theres something big thats gonna happen like  complete   happens   future  completely whipes   smp exept  karl   reason  travels     learn      save everyone"
"82","havent ever really posted        chaz really shaped  politics  marxism  leninism"
"83","  kill one million american jobs  go quid pro quo joe trump    return  clean   coming  uf "
"84"," say  loud  media   held accountable   lot     "
"85","   agree       time    idea    meant australian housing     brain drain decreased birth rates inter generational inequality displaced families debt  lower disposable income   pack  clowns   comes  housing policy"
"86","emergency preparation  gear  need   natural  "
"87","  havent watched much football since  last eagles    game  wasnt feeling "
"88","  fauci   "
"89","dont go    protest  tacoma  majority arent even  tacoma trust   understand  anger   aint  bullets aint got  names     uneducated way  go     recipe   stay safe tacoma "
"90","weve  known   quite  time luntz cable news  become      preaching   choir  frankly im disgusted  frightened "
"91","     last storm whole city   matter please  better  time"
"92","     clung   belief   many  republicans like    couldnt stand trump clearly   kidding  theyve sold  souls   monster  corruption incompetence amp  lies   complete      suffer   mess  years  come"
"93","  approaching warning sound"
"94","  good luck getting  house  canada retail   "
"95","top  photos taken moments   "
"96"," australians insurance premiums skyrocket  morrison government   invested one cent    resilience fund  "
"97","     potential jobs  hired nonamericans  gone  save  world   climate   fuck  jobs"
